Fund Name,Weight,Type,Market Cap
ICICI Pru Nifty Next 50 Index Fund(G)-Direct Plan,0.1,Active,Small
Motilal Oswal Nifty Midcap 150 Index Fund (Passive),0.2500000000000006,Passive,Mid
Nippon India Nifty Smallcap 250 Index Fund (Passive),0.1,Passive,Small
UTI Nifty 50 Index Fund (Passive),0.2500000000000002,Passive,Large
Bandhan Small Cap Fund (Active),0.10000000000000009,Active,Small
HDFC Mid Cap Fund (Active),0.1,Active,Mid
Nippon India Large Cap Fund (Active),0.1,Active,Large
