Fund Name,Category,Weight
Motilal Oswal Nifty Midcap 150 Index Fund(G)-Direct Plan,Mid,0.4
UTI Nifty 50 Index Fund(G)-Direct Plan,Large,0.3
Nippon India Nifty Smallcap 250 Index Fund(G)-Direct Plan,Small,0.2
ICICI Pru Nifty Next 50 Index Fund(G)-Direct Plan,Large,0.1
