Scheme Name,Sub-category
ICICI Pru Savings Fund(G)-Direct Plan,Low Duration
Axis Short Duration Fund(G)-Direct Plan,Short Duration
Tata Ultra Short Term Fund(G)-Direct Plan,Ultra Short Duration
ICICI Pru Liquid Fund(G)-Direct Plan,Liquid
