Fund Name,Category,Weight
Nippon India Large Cap Fund(G)-Direct Plan,Large,0.4000000000000001
Bandhan Small Cap Fund(G)-Direct Plan,Small,0.3
HDFC Mid Cap Fund(G)-Direct Plan,Mid,0.2999999999999999
